A1: Ladder,B1: PowerSoil-LT-Organic-1,C1: PowerSoil-LT-Organic-2,D1: PowerSoil-LT-Organic-3,E1: PowerSoil-LT-Sand-Clay-1,F1: PowerSoil-LT-Sand-Clay-2,G1: PowerSoil-LT-Sand-Clay-3,H1: PowerSoil-LT-Sand-1,A2: PowerSoil-LT-Sand-2,B2: PowerSoil-LT-Sand-3,C2: PowerSoil-LT-Clay-1,D2: PowerSoil-LT-Clay-2,E2: PowerSoil-LT-Clay-3,F2: PowerSoil-LT-Beach-Sand-1,G2: PowerSoil-LT-Beach-Sand-2,H2: PowerSoil-LT-Beach-Sand-3
8.682994,4.748824,3.009981,2.770611,3.278114,2.595787,2.309501,2.533026,3.395945,2.177354,2.861161,3.445419,2.51578,2.459726,2.435277,2.519402
8.577578,4.833697,3.063644,2.714888,3.415071,2.679027,2.598705,2.65943,3.538097,2.218904,3.241203,3.504047,2.595323,2.686801,2.465526,2.631416
8.831855,4.78615,3.204478,2.755462,3.669707,2.826695,2.849967,2.827188,3.70792,2.337969,3.460926,3.493688,2.665745,2.843728,2.664741,2.814527
9.439045,4.994152,3.567818,3.143524,3.708582,3.046269,3.073764,3.088143,3.739412,2.630034,3.696483,3.774953,2.904097,2.957664,2.852641,2.991892
9.645412,5.490994,4.19506,3.306186,3.82382,3.252479,3.127335,3.340271,3.819794,2.998433,3.764157,4.083599,3.429793,3.147725,3.189737,3.170809
10.05388,5.789674,4.710489,3.787442,4.084417,3.524498,3.307941,3.745528,4.01083,3.529937,4.204451,4.35428,3.748838,3.465159,3.630857,3.608566
10.54596,6.370982,5.564592,4.618855,4.604543,3.977466,3.787508,4.423364,4.355875,3.944021,4.453951,4.878436,4.143548,3.916476,4.202989,4.297863
11.57843,7.463184,6.618688,5.603566,5.212958,4.672826,4.580229,5.290909,5.121539,4.638131,5.132017,5.816266,4.775325,4.622454,5.151945,5.375693
12.79063,8.589783,8.142061,7.366782,6.067219,5.792913,5.557298,6.495415,6.393243,5.324926,6.138769,6.98293,5.969872,5.635774,6.388599,6.870204
15.297,10.50258,10.17129,9.859517,7.337274,7.585737,6.796594,8.441584,8.097998,6.621164,7.927608,8.879145,7.278959,7.030728,8.168123,8.944246
19.79495,13.23151,13.66714,13.45854,9.340199,10.14173,8.96071,11.12626,10.74326,8.892994,10.93707,11.62119,9.565558,9.218915,10.8486,12.02213
25.39092,17.02362,18.27332,18.97543,12.40126,13.60935,12.31957,14.7237,14.44468,12.56719,15.11199,16.32596,13.1791,12.38032,14.99167,17.04667
33.89019,22.46169,24.49728,26.70888,17.12247,18.48508,17.31405,20.21721,19.53814,18.08495,21.54156,22.91838,17.97042,16.99796,21.01834,24.05229
45.08426,30.53131,33.64057,37.54144,23.87407,26.24993,24.97028,28.25763,27.45998,26.04775,30.71186,33.14056,24.75431,23.64167,29.76186,33.73631
60.77265,42.70675,45.65396,51.31622,33.60573,37.6866,35.84706,39.31636,39.3699,37.25483,43.29012,46.57417,34.87682,33.7718,41.89317,47.73372
81.8773,58.36852,63.20517,69.12674,47.40499,53.15161,51.17661,54.5073,56.14317,52.51102,60.11356,64.81039,49.17853,47.9692,58.49342,66.81929
108.0016,78.30202,86.57426,91.99315,66.61947,73.70399,72.06896,75.90833,78.23821,73.06576,82.60268,88.55235,68.64743,66.97895,79.75896,90.96014
143.0849,103.6548,115.1912,120.2517,91.85023,100.2825,97.91907,103.6317,106.9285,100.2792,112.8606,117.8685,94.04649,91.86634,107.7138,121.0003
186.3516,135.1164,150.4809,154.3218,122.7922,133.2295,131.6872,139.4129,143.6792,134.169,149.278,153.6604,127.5078,124.4568,143.0016,156.3925
234.6277,171.8635,189.9192,195.2752,160.9438,172.4692,171.0584,181.3766,188.2211,175.3786,191.0377,194.7738,168.5169,165.1851,185.0776,197.204
287.3082,214.1932,234.6795,238.8853,208.6142,218.5159,214.9661,229.0977,240.0362,223.3614,236.4586,239.1546,217.6419,211.8755,232.4737,242.9831
339.1816,263.1837,283.0701,285.5552,262.3262,268.2776,263.4097,280.9321,296.7152,278.3908,284.1569,285.7193,272.2924,264.9217,285.3755,290.684
388.6718,317.48,332.6207,332.3571,318.4933,324.1256,316.5976,334.8643,352.794,336.4497,333.8787,332.8934,329.1139,321.5443,340.5613,341.4324
431.2576,371.6953,383.1983,377.4994,373.555,379.6248,371.3064,387.8814,405.2584,393.0097,383.3276,381.7547,384.5695,378.085,394.757,393.1538
463.5502,420.2834,430.0936,420.0294,422.0805,430.0069,422.7936,434.8902,449.0523,442.9687,429.8401,426.9234,432.7451,427.9558,442.4184,437.7938
486.8199,460.7079,467.3353,457.0193,460.2195,468.8259,464.5732,470.9591,481.8814,479.8492,468.5193,465.0839,469.4368,466.6223,478.3122,473.0163
498.0008,488.2046,491.8918,484.6083,485.1926,492.5352,491.8561,494.8736,498.7088,496.5563,493.2799,491.0224,492.3149,491.6843,498.5352,493.6205
496.1499,499.1589,499.9803,499.9462,497.9255,498.9404,499.2388,498.5483,499.3853,495.442,498.5467,499.8851,499.7316,499.5737,497.359,498.5737
481.6278,493.864,491.1739,493.6781,498.1971,488.9035,485.842,484.1567,488.448,476.7342,485.8426,488.0705,491.7533,488.8032,477.8435,486.8975
456.6227,475.2085,465.9946,472.0419,483.5094,462.7784,457.3151,453.1729,464.2576,445.7401,456.632,458.6944,471.8117,462.6063,443.1966,457.2308
422.8584,448.2903,427.1008,434.5092,456.0893,427.076,418.4876,409.2298,429.373,405.2889,415.4003,417.3444,440.7898,426.0375,397.7177,413.8844
382.2125,414.296,381.808,387.1953,419.8881,384.7423,372.1601,357.97,387.6235,359.2704,367.2174,368.9349,403.1172,381.6933,345.9087,361.6102
338.7669,376.2613,334.4403,336.0678,376.458,338.0393,322.6577,302.1803,341.3754,311.8438,318.0908,317.5181,359.6948,332.7169,293.3891,306.3926
295.3058,336.5704,287.7962,287.1428,329.8049,289.9582,273.2952,248.2815,294.7288,265.2926,269.518,268.4417,314.8329,281.9463,242.572,249.6548
